Generation,RockUtility,PaperUtility,ScissorsUtility,LizardUtility,SpockUtility,TOTALUTILITY,RockSpecialists,PaperSpecialists,ScissorsSpecialists,LizardSpecialists,SpockSpecialists
159,7321.593064516132,8531.077394550548,8366.899677419358,9440.474302809576,6856.06439972099,40516.108839016604,14,48,34,92,12
160,7210.198387096777,8674.900462414433,8251.956451612907,9492.244313215399,6834.941435681291,40464.24105002081,7,60,29,96,8
161,7120.208387096777,8592.26922720434,8340.29532258064,9565.267185223725,6953.2260126344945,40571.26613473998,4,45,34,96,21
162,7105.607741935485,8720.898466759094,8332.175322580646,9633.422767950051,6722.067815844374,40514.172115069654,4,48,29,105,14
163,6969.294193548391,8995.353953494126,8070.628064516128,9580.159235171699,6970.064583449603,40585.500030179945,5,56,28,99,12
164,6903.750967741936,8630.201342585078,8359.395967741935,9509.57449531738,6672.289726242318,40075.212499628644,7,51,28,103,11
165,6925.9682258064495,8771.677281004995,8422.330322580647,9880.443673257023,6743.160038600789,40743.5795412499,7,49,31,101,12
166,6788.741935483873,8420.538957748824,8429.774516129033,9765.249859521333,6818.635257295911,40222.94052617897,6,46,30,108,10
167,6895.353225806446,8640.13306870065,8371.686774193548,9762.326961498438,6777.411028131884,40446.91105833097,6,48,30,102,14
168,6871.648064516128,9164.23216368657,8328.439193548387,9569.601623309054,6729.500733485315,40663.42177854545,2,66,20,94,18
169,6824.340483870969,9249.325349611772,8473.081451612905,9374.29046305931,6492.9541282018,40413.99187635676,1,78,23,80,18
170,6981.244032258063,9138.135549727871,8470.376612903223,9399.087653485956,6327.852215973524,40316.69606434864,4,71,35,79,11
171,6944.492258064512,9196.742814936848,8405.952096774194,9436.200156087405,6553.215094211435,40536.60242007439,3,69,25,92,11
172,6846.770322580642,9385.484578712218,8331.214677419357,9409.763782518212,6395.048035957498,40368.28139718793,6,80,25,81,8
173,6888.76693548387,9394.797452637871,8397.1385483871,9462.95345473466,6273.87934900135,40417.53574024486,5,71,32,84,8
174,6792.76822580645,9439.339160975995,8314.98177419355,9318.109849115503,6216.437622851547,40081.63663294304,5,88,26,75,6
175,6936.476612903224,9310.15855229894,8297.802580645162,9226.45192507804,6473.7895388715915,40244.67920979696,4,85,30,73,8
176,7074.470967741933,9133.040684484666,8378.318387096779,9329.019916753383,6364.9983771392635,40279.84833321602,9,67,35,79,10
177,7061.046612903223,9432.878098127261,8404.944193548383,9212.981836628509,6412.623324044711,40524.474065252085,6,78,30,76,10
178,6959.452258064515,9453.706536735832,8472.999354838708,9200.615359001038,6308.582500487138,40395.35600912723,10,80,35,67,8
179,7059.100322580647,9227.36171972905,8470.235322580642,9125.315629552551,6376.740237471407,40258.75323191429,8,75,39,68,10
180,7096.86822580645,9310.536283620115,8339.14435483871,9122.545915712797,6337.8969150053745,40206.99169498345,12,70,36,74,8
181,7017.565806451614,9429.43171722098,8376.304516129034,9278.007247658687,6456.92371169279,40558.23299915311,7,82,29,77,5
182,7161.112096774192,9634.607176987029,8453.132096774192,9190.132377731532,6328.450738654679,40767.43448692162,9,84,27,75,5
183,7103.991935483871,9786.48813799725,8614.092096774199,9131.057970863687,6426.099657770992,41061.72979889,7,96,30,57,10
184,7294.60532258065,9842.59761561424,8490.973709677413,8943.621628511968,6500.505804849334,41072.3040812336,12,91,31,57,9
185,7400.363709677417,10081.611940959674,8577.396129032266,9154.62152445369,6379.930619585942,41593.923923708986,11,95,22,66,6
186,7446.910000000003,10442.254249294083,8637.464677419355,8973.765296566073,6221.335433277673,41721.72965655718,9,120,24,42,5
187,7559.043387096772,10652.444833294374,8607.853870967741,8722.562101977115,6113.676880486391,41655.581073822395,7,119,34,36,4
188,7594.414516129029,10752.42958472887,8654.792580645159,8657.03340790843,6274.860756348765,41933.53084576026,6,134,18,38,4
189,7504.950806451617,10935.151057774025,8831.476935483872,8775.778272632677,6082.284587437856,42129.64165978005,6,128,30,32,4
190,7524.91258064516,11232.840272484811,8836.708548387094,8674.99321540063,5897.079501837733,42166.53411875542,7,142,25,24,2
191,7605.516774193542,10893.827532101346,8763.262258064511,8638.581056191466,5876.189674958241,41777.377295509104,9,136,23,29,3
192,7580.236935483866,11028.067975508582,8678.69370967742,8659.949713839747,5894.170269722291,41841.11860423191,6,131,26,30,7
193,7525.563064516131,10983.388821032695,8648.168387096768,8639.346498439125,5988.371940479006,41784.83871156373,6,136,25,30,3
194,7502.938870967744,11125.721182455352,8755.717419354838,8627.60980228928,6048.836231365323,42060.82350643254,5,139,23,31,2
195,7567.268709677421,10840.406641845602,8665.62725806452,8634.04289281998,5967.013921465259,41674.35942387278,8,130,21,33,8
196,7429.56612903226,11069.701098188416,8778.809838709678,8520.621508844955,5926.129120413779,41724.82769518909,7,132,30,27,4
197,7583.39516129032,11206.980677989539,8620.573548387094,8387.866503642037,5960.989259042915,41759.80515035191,10,145,15,27,3
198,7386.986935483873,10926.430124531018,8658.976774193547,8715.122585848072,5938.744782443553,41626.26120250006,7,127,25,36,5
199,7484.761935483867,10767.31577642887,8732.470967741932,8461.0975182102,6057.944548469852,41503.590746334725,6,131,29,30,4
200,7485.772741935483,11018.451071024707,8685.37838709677,8566.923428720085,5946.883234449322,41703.408863226374,7,134,30,28,1
201,7382.808225806454,11129.333719519642,8726.819032258065,8684.985083246615,6026.047651317051,41949.99371214783,9,134,17,37,3
202,7573.288387096771,10954.711683480255,8729.740322580641,8404.506139438086,6171.6324370498905,41833.878969645644,10,123,31,30,6
203,7665.792096774197,11075.147317220537,8726.068225806455,8278.86318418314,5951.251284555648,41697.122108539974,6,134,26,30,4
204,7587.189677419358,11100.035256963896,8761.527903225808,8435.916207075958,6150.946047339365,42035.61509202438,12,123,24,33,8
205,7534.335000000005,11129.793586272304,8715.496935483872,8060.894032258067,6150.027581975341,41590.54713598958,8,140,27,22,3
206,7474.488387096772,11241.061168115804,8882.280322580646,8060.99979188346,5841.427719799935,41500.25738947662,10,138,31,18,3
207,7564.454354838709,11265.042194487516,8668.332741935477,8203.215463059312,6181.032698817475,41882.07745313848,3,135,25,28,9
208,7590.959677419355,11277.226737097255,8666.69854838709,8183.855218522378,5862.0488886349785,41580.78907006105,6,140,21,31,2
209,7606.254838709673,10795.046525452542,8572.811935483871,7918.933454734646,6153.966163811737,41047.01291819247,14,131,26,22,7
210,7560.564354838715,10851.984116458667,8641.281612903222,8082.713647242457,6226.028839349688,41362.57257079275,9,130,28,27,6
211,7619.160322580648,10566.116227266339,8703.471612903226,8190.821748178981,6313.404248512903,41392.9741594421,9,124,30,31,6
212,7590.835967741933,10614.229219773313,8590.548064516126,8343.967559833505,6122.955608033416,41262.5364198983,4,129,26,36,5
213,7517.502419354838,10601.824929722188,8663.902580645161,8363.374562955254,5972.742238458569,41119.34673113601,9,116,29,41,5
214,7522.20693548387,10732.199789836066,8557.85870967742,8324.98861082206,6363.66757445757,41500.92162027698,5,120,31,35,9
215,7689.95112903225,10612.296150363176,8565.275806451613,8188.778152965665,5924.36612014534,40980.667358958046,12,132,29,24,3
216,7532.719516129032,10658.325934234424,8676.012258064518,8087.301977107184,5926.935152876844,40881.294838412,5,142,28,19,6
217,7445.070483870968,10601.100431828185,8543.843709677416,8300.42903746098,6304.024528970666,41194.46819180822,10,131,21,30,8
218,7372.4314516129,10757.352673113031,8633.979677419351,8284.424745057235,6070.8710403645555,41119.05958756707,11,128,25,31,5
219,7470.764354838707,10111.376499537842,8569.351290322586,8477.146389177944,6181.540187944317,40810.178721821394,4,117,32,39,8
220,7483.465322580643,10221.089844311457,8335.559838709672,8433.182466181059,6311.210035276932,40784.50750705977,15,111,28,34,12
